docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-30,0,1,Putin,Putin,Putin,Npmsn,PROPN,B-PER,PER-Vladimir-Putin
sl-30,0,2,in,,in,Cc,CCONJ,O,
sl-30,0,3,Xi,Xi,XI,Npmsn,PROPN,B-PER,PER-Xi-Jinping
sl-30,0,4,odprla,,odpreti,Vmep-dm,VERB,O,
sl-30,0,5,prvi,,prvi,Mlomsa,ADJ,O,
sl-30,0,6,plinovod,,plinovod,Ncmsan,NOUN,O,
sl-30,0,7,med,,med,Si,ADP,O,
sl-30,0,8,Rusijo,Rusija,Rusija,Npfsi,PROPN,B-LOC,GPE-Russia
sl-30,0,9,in,,in,Cc,CCONJ,O,
sl-30,0,10,Kitajsko,Kitajska,Kitajska,Npfsi,PROPN,B-LOC,GPE-China
sl-30,1,1,»,,»,Z,PUNCT,O,
sl-30,1,2,Današnji,,današnji,Agpmsny,ADJ,O,
sl-30,1,3,dogodek,,dogodek,Ncmsn,NOUN,O,
sl-30,1,4,je,,biti,Va-r3s-n,AUX,O,
sl-30,1,5,pomemben,,pomemben,Agpmsnn,ADJ,O,
sl-30,1,6,in,,in,Cc,CCONJ,O,
sl-30,1,7,resnično,,resnično,Rgp,ADV,O,
sl-30,1,8,zgodovinski,,zgodovinski,Agpmsny,ADJ,O,
sl-30,1,9,ne,,ne,Q,PART,O,
sl-30,1,10,samo,,samo,Q,PART,O,
sl-30,1,11,za,,za,Sa,ADP,O,
sl-30,1,12,globalni,,globalen,Agpmsay,ADJ,O,
sl-30,1,13,energetski,,energetski,Agpmsay,ADJ,O,
sl-30,1,14,trg,,trg,Ncmsan,NOUN,O,
sl-30,1,15,",",,",",Z,PUNCT,O,
sl-30,1,16,ampak,,ampak,Cc,CCONJ,O,
sl-30,1,17,predvsem,,predvsem,Q,PART,O,
sl-30,1,18,za,,za,Sa,ADP,O,
sl-30,1,19,nas,,jaz,Pp1-pa,PRON,O,
sl-30,1,20,in,,in,Cc,CCONJ,O,
sl-30,1,21,za,,za,Sa,ADP,O,
sl-30,1,22,vas,,ti,Pp2-pa,PRON,O,
sl-30,1,23,",",,",",Z,PUNCT,O,
sl-30,1,24,za,,za,Si,ADP,O,
sl-30,1,25,Rusijo,Rusija,Rusija,Npfsi,PROPN,B-LOC,GPE-Russia
sl-30,1,26,in,,in,Cc,CCONJ,O,
sl-30,1,27,Kitajsko,Kitajska,Kitajska,Npfsi,PROPN,B-LOC,GPE-China
sl-30,1,28,",",,",",Z,PUNCT,O,
sl-30,1,29,«,,«,Z,PUNCT,O,
sl-30,1,30,je,,biti,Va-r3s-n,AUX,O,
sl-30,1,31,na,,na,Sl,ADP,O,
sl-30,1,32,slovesnosti,,slovesnost,Ncfsl,NOUN,O,
sl-30,1,33,ob,,ob,Sl,ADP,O,
sl-30,1,34,odprtju,,odprtje,Ncnsl,NOUN,O,
sl-30,1,35,plinovoda,,plinovod,Ncmsg,NOUN,O,
sl-30,1,36,",",,",",Z,PUNCT,O,
sl-30,1,37,ki,,ki,Cs,SCONJ,O,
sl-30,1,38,so,,biti,Va-r3p-n,AUX,O,
sl-30,1,39,jo,,on,Pp3fsa--y,PRON,O,
sl-30,1,40,prenašali,,prenašati,Vmpp-pm,VERB,O,
sl-30,1,41,po,,po,Sl,ADP,O,
sl-30,1,42,televiziji,,televizija,Ncfsl,NOUN,O,
sl-30,1,43,",",,",",Z,PUNCT,O,
sl-30,1,44,povedal,,povedati,Vmep-sm,VERB,O,
sl-30,1,45,Putin,Putin,Putin,Npmsn,PROPN,B-PER,PER-Vladimir-Putin
sl-30,1,46,.,,.,Z,PUNCT,O,
sl-30,2,1,Xi,Xi,XI,Npmsn,PROPN,B-PER,PER-Xi-Jinping
sl-30,2,2,pa,,pa,Cc,CCONJ,O,
sl-30,2,3,je,,biti,Va-r3s-n,AUX,O,
sl-30,2,4,poudaril,,poudariti,Vmep-sm,VERB,O,
sl-30,2,5,",",,",",Z,PUNCT,O,
sl-30,2,6,da,,da,Cs,SCONJ,O,
sl-30,2,7,ta,,ta,Pd-msn,DET,O,
sl-30,2,8,projekt,,projekt,Ncmsn,NOUN,O,
sl-30,2,9,predstavlja,,predstavljati,Vmpr3s,VERB,O,
sl-30,2,10,zgled,,zgled,Ncmsan,NOUN,O,
sl-30,2,11,sodelovanja,,sodelovanje,Ncnsg,NOUN,O,
sl-30,2,12,med,,med,Si,ADP,O,
sl-30,2,13,državama,,država,Ncfdi,NOUN,O,
sl-30,2,14,",",,",",Z,PUNCT,O,
sl-30,2,15,ki,,ki,Cs,SCONJ,O,
sl-30,2,16,koristi,,koristiti,Vmpr3s,VERB,O,
sl-30,2,17,obema,,oba,Pg-fdd,DET,O,
sl-30,2,18,stranema,,stran,Ncfdd,NOUN,O,
sl-30,2,19,.,,.,Z,PUNCT,O,
sl-30,3,1,»,,»,Z,PUNCT,O,
sl-30,3,2,Razvoj,,razvoj,Ncmsn,NOUN,O,
sl-30,3,3,kitajsko-ruskih,,kitajskonruski,Agpfpg,ADJ,O,
