docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID,calcNER
bg_3045,0,1,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi,B-PER
bg_3045,0,2,Биби,Биби,биби,Hfsi,PROPN,I-PER,PER-Asia-Bibi,I-PER
bg_3045,0,3,на,,на,R,ADP,O,,O
bg_3045,0,4,крачка,,крачка,Ncfsi,NOUN,O,,O
bg_3045,0,5,от,,от,R,ADP,O,,O
bg_3045,0,6,свободата,,свобода,Ncfsd,NOUN,O,,O
bg_3045,1,1,Върховният,Върховен,върховен,Amsf,ADJ,B-ORG,ORG-Supreme-Court-of-Pakistan,B-ORG
bg_3045,1,2,съд,съд,съд,Ncmsi,NOUN,I-ORG,ORG-Supreme-Court-of-Pakistan,I-ORG
bg_3045,1,3,на,на,на,R,ADP,I-ORG,ORG-Supreme-Court-of-Pakistan,I-ORG
bg_3045,1,4,Пакистан,Пакистан,пакистан,Npmsi,PROPN,I-ORG,ORG-Supreme-Court-of-Pakistan,I-ORG
bg_3045,1,5,обяви,,обявя-(се),Vpptf-o3s,VERB,O,,O
bg_3045,1,6,",",,",",punct,PUNCT,O,,O
bg_3045,1,7,че,,че,Cs,SCONJ,O,,O
bg_3045,1,8,е,,съм,Vxitf-r3s,AUX,O,,O
bg_3045,1,9,"""",,"""",punct,PUNCT,O,,O
bg_3045,1,10,отхвърлил,,отхвърля,Vpptcao-smi,VERB,O,,O
bg_3045,1,11,петицията,,петиция,Ncfsd,NOUN,O,,O
bg_3045,1,12,"""",,"""",punct,PUNCT,O,,O
bg_3045,1,13,",",,",",punct,PUNCT,O,,O
bg_3045,1,14,за,,за,R,ADP,O,,O
bg_3045,1,15,да,,да,Tx,AUX,O,,O
bg_3045,1,16,преразгледа,,преразгледам,Vpptf-r3s,VERB,O,,O
bg_3045,1,17,случая,,случай,Ncmsh,NOUN,O,,O
bg_3045,1,18,с,,с,R,ADP,O,,O
bg_3045,1,19,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi,B-PER
bg_3045,1,20,Биби,Биби,биби,Hfsi,PROPN,I-PER,PER-Asia-Bibi,I-PER
bg_3045,1,21,",",,",",punct,PUNCT,O,,O
bg_3045,1,22,християнката,,християнка,Ncfsd,NOUN,O,,O
bg_3045,1,23,",",,",",punct,PUNCT,O,,O
bg_3045,1,24,която,,който,Pre-os-f,PRON,O,,O
bg_3045,1,25,прекара,,прекарам-(се),Vpptf-o3s,VERB,O,,O
bg_3045,1,26,осем,,осем,Mc-pi,NUM,O,,O
bg_3045,1,27,години,,година,Ncfpi,NOUN,O,,O
bg_3045,1,28,в,,в,R,ADP,O,,O
bg_3045,1,29,затвор,,затвор,Ncmsi,NOUN,O,,O
bg_3045,1,30,",",,",",punct,PUNCT,O,,O
bg_3045,1,31,обвинена,,обвиня,Vpptcv--sfi,ADJ,O,,O
bg_3045,1,32,в,,в,R,ADP,O,,O
bg_3045,1,33,богохулстване,,богохулстване,Ncnsi,NOUN,O,,O
bg_3045,1,34,срещу,,срещу,R,ADP,O,,O
bg_3045,1,35,исляма,,ислям,Ncmsh,NOUN,O,,O
bg_3045,1,36,.,,.,punct,PUNCT,O,,O
bg_3045,2,1,През,,през,R,ADP,O,,O
bg_3045,2,2,2010,,2010,Mofsi,ADJ,O,,O
bg_3045,2,3,година,,година,Ncfsi,NOUN,O,,O
bg_3045,2,4,тя,,аз,Ppe-os3f,PRON,O,,O
bg_3045,2,5,беше,,съм,Vxitf-t3s,AUX,O,,O
bg_3045,2,6,осъдена,,осъдя,Vpptcv--sfi,VERB,O,,O
bg_3045,2,7,",",,",",punct,PUNCT,O,,O
bg_3045,2,8,след,,след,R,ADP,O,,O
bg_3045,2,9,като,,като,R,ADP,O,,O
bg_3045,2,10,беше,,съм,Vxitf-t3s,AUX,O,,O
bg_3045,2,11,обвинена,,обвиня,Vpptcv--sfi,VERB,O,,O
bg_3045,2,12,в,,в,R,ADP,O,,O
bg_3045,2,13,обида,,обида,Ncfsi,NOUN,O,,O
bg_3045,2,14,срещу,,срещу,R,ADP,O,,O
bg_3045,2,15,пророка,,пророк,Ncmsh,NOUN,O,,O
bg_3045,2,16,Мохамед,Мохамед,мохамед,Npmsi,PROPN,B-PER,PER-Prophet-Muhammad,B-PER
bg_3045,2,17,.,,.,punct,PUNCT,O,,O
bg_3045,3,1,Върховният,Върховен,върховен,Amsf,ADJ,B-ORG,ORG-Supreme-Court-of-Pakistan,B-ORG
bg_3045,3,2,съд,съд,съд,Ncmsi,NOUN,I-ORG,ORG-Supreme-Court-of-Pakistan,I-ORG
bg_3045,3,3,на,на,на,R,ADP,I-ORG,ORG-Supreme-Court-of-Pakistan,I-ORG
bg_3045,3,4,Пакистан,Пакистан,пакистан,Npmsi,PROPN,I-ORG,ORG-Supreme-Court-of-Pakistan,I-ORG
bg_3045,3,5,отмени,,отменя,Vpptf-o3s,VERB,O,,O
bg_3045,3,6,присъдата,,присъда,Ncfsd,NOUN,O,,O
bg_3045,3,7,и,,и,Cp,CCONJ,O,,O
bg_3045,3,8,смъртното,,смъртен,Ansd,ADJ,O,,O
bg_3045,3,9,наказание,,наказание,Ncnsi,NOUN,O,,O
bg_3045,3,10,през,,през,R,ADP,O,,O
